"codigo_de_solicitante","grado_academico","especialidad","institucion_educativa","annio_de_graduacion","indice_titulo"
9346,Licenciatura,Idioma Inglés,Universidad de Oriente,"2012",1
6371,Licenciatura,Lenguaje y Literatura,Universidad de El Salvador,"2012",1
3606,Profesorado,Educación Física,Instituto Especializado de Educación Superior El Espíritu Santo,"2014",1
1501,Licenciatura,Ciencias Sociales,Universidad Pedagógica de El Salvador,"2006",1
13956,Licenciatura,Computación,Universidad Capitán General Gerardo Barrios,"2007",1
3880,Licenciatura,Ciencias Sociales,Universidad de Sonsonate,"2012",1
13962,Profesorado,Idioma Inglés,Universidad Capitán General Gerardo Barrios,"2020",1
13968,Licenciatura,Administración de Empresas,Universidad de Oriente,"2008",1
13969,Licenciatura,Matemática,Universidad Católica de El Salvador - Ilobasco,"2015",1
13973,Licenciatura,Idioma Inglés,Universidad Tecnológica de El Salvador,"2014",1
12868,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2008",1
12752,Licenciatura,Educación Parvularia,Universidad Católica de El Salvador,"2013",1
9116,Licenciatura,Ciencias de la Educación,Universidad de El Salvador,"2019",1
13990,Maestría,Computación,Universidad de Oriente,"2021",1
8965,Licenciatura,Ciencias Naturales,Universidad Pedagógica de El Salvador,"2021",1
13653,Licenciatura,"Educación Física, Deporte y Recreación",Universidad de El Salvador,"2017",1
10346,Licenciatura,Educación Básica para I y II Ciclos,Instituto Especializado de Educación Superior El Espíritu Santo,"2020",1
9086,Licenciatura,Computación,Universidad de Oriente,"2014",1
10968,Profesorado,Lenguaje y Literatura,Universidad de El Salvador,"2021",1
14010,Profesorado,Educación Básica para I y II Ciclos,Instituto Especializado de Educación Superior El Espíritu Santo,"2009",1
10450,Licenciatura,Salud,Universidad Católica de El Salvador,"2011",1
10973,Profesorado,Lenguaje y Literatura,Universidad Pedagógica de El Salvador,"2012",1
13955,Profesorado,Matemática,Universidad de El Salvador - San Miguel,"2018",1
11482,Profesorado,Idioma Inglés,Universidad Capitán General Gerardo Barrios - regional Usulután,"2019",1
7127,Profesorado,Matemática,Universidad de El Salvador,"2018",1
11628,Profesorado,Educación Básica para I y II Ciclos,Universidad de El Salvador - San Miguel,"2017",1
11704,Profesorado,Matemática,Universidad de El Salvador - San Miguel,"2019",1
9472,Licenciatura,Idioma Inglés,Instituto Especializado de Nivel Superior Centro Cultural Salvadoreño Americano,"2021",1
2553,Licenciatura,Educación Parvularia,Universidad Modular Abierta - regional San Miguel,"2012",1
12292,Profesorado,Educación Básica para I y II Ciclos,Universidad de El Salvador - San Vicente,"2017",1
5412,Licenciatura,Matemática,Universidad de Sonsonate,"2013",1
11298,Profesorado,Educación Básica para I y II Ciclos,Universidad de El Salvador - San Vicente,"2018",1
9082,Profesorado,Matemática,Universidad Capitán General Gerardo Barrios,"2020",1
5655,Licenciatura,Informática,Universidad Luterana Salvadoreña,"2016",1
10240,Licenciatura,Idioma Inglés,Universidad Pedagógica de El Salvador,"2018",1
10666,Profesorado,Educación Física,Universidad Pedagógica de El Salvador,"2013",1
11275,Profesorado,Matemática,Universidad de Oriente,"2020",1
13677,Licenciatura,Ciencias de la Educación,Universidad de El Salvador- Santa Ana,"2015",1
14031,Licenciatura,Educación Física y Deportes,Universidad de El Salvador,"2019",1
6463,Licenciatura,Computación,Universidad de Oriente,"2012",1
11499,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador,"2009",1
14037,Licenciatura,Educación Física,Universidad Pedagógica de El Salvador,"2018",1
1353,Licenciatura,Educación Física,Universidad de El Salvador,"2019",1
13361,Ingeniería,Matemática,Universidad de El Salvador,"2009",1
14040,Profesorado,Educación Básica para I y II Ciclos,Universidad de El Salvador - San Vicente,"2012",1
3316,Licenciatura,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2011",1
10639,Profesorado,Ciencias Sociales,Universidad de El Salvador- Santa Ana,"2008",1
14062,Licenciatura,Educación Básica para I y II Ciclos,Universidad Monseñor Óscar Arnulfo Romero,"2011",1
4872,Licenciatura,Idioma Inglés,Universidad de Oriente,"2017",1
13054,Licenciatura,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2011",1
1612,Profesorado,"Educación Física, Deporte y Recreación",Universidad de Oriente,"2020",1
9390,Licenciatura,Ciencias Naturales,Universidad Pedagógica de El Salvador,"2015",1
4449,Profesorado,Matemática,Universidad de El Salvador - San Vicente,"2016",1
9681,Licenciatura,Informática,Universidad Tecnológica de El Salvador,"2007",1
9755,Profesorado,Educación Básica para I y II Ciclos,Universidad Católica de El Salvador,"2012",1
14099,Profesorado,Idioma Inglés,Universidad Capitán General Gerardo Barrios,"2020",1
8728,Profesorado,Matemática,Universidad Capitán General Gerardo Barrios - regional Usulután,"2018",1
